1password 8.12.24-34
7zip 26.01-1.1
a52dec 0.8.0-3.1
aalib 1.4rc5-19.1
abseil-cpp 20260526.0-2.1
accountsservice 26.13.3-1.1
acl 2.3.2-2.1
ada 3.4.4-1.1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
aha 0.5.1-3.1
akonadi 26.04.2-1.1
akonadi-calendar 26.04.2-2.1
akonadi-contacts 26.04.2-2.1
akonadi-import-wizard 26.04.2-1.1
akonadi-mime 26.04.2-2.1
akonadi-search 26.04.2-2.1
alacritty 0.17.0-1.1
alsa-card-profiles 1:1.6.7-1.1
alsa-firmware 1.2.4-4
alsa-lib 1.2.16.1-1.1
alsa-plugins 1:1.2.12-5.5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
alsa-utils 1.2.16-1.1
amd-ucode 1:20260519-1
amdgpu_top 0.11.5-1.1
ananicy-cpp 1.2.0-1.1
android-tools 35.0.2-27.1
antigravity 2.1.4-1
antigravity-cli 1.0.10_6349723456634880-1
antigravity-ide 2.1.1-1
aom 3.14.1-1.1
appmenu-gtk-module 25.04-3.1
appstream 1.1.3-1.1
appstream-qt 1.1.3-1.1
archlinux-contrib 20260611-1
archlinux-keyring 1:20260612-1
argon2 20190702-6.3
aribb24 1.0.3-4.1
aribb25 0.2.7-3.1
ark 26.04.2-1.1
at-spi2-core 2.60.4-1.1
atkmm 2.28.5-2.1
attica 6.27.0-1.1
attr 2.5.2-2.1
audit 4.1.4-2.1
aurorae 6.7.1-1.1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc4-1.1
awesome-terminal-fonts 1.1.0-5
ayatana-ido 0.10.4-1.2
baloo 6.27.0-1.1
baloo-widgets 26.04.2-2.1
bandwhich 0.23.1-3
base 3-3
base-devel 1-2
bash 5.3.9-2
bash-completion 2.17.0-3
bat 0.26.1-2.1
bigsh0t 2.7-2.1
bind 9.20.24-1.1
binutils 2.46+r70+g155188ea10a7-2
bison 3.8.2-8
blas 3.12.1-2.1
bluedevil 1:6.7.1-1.1
bluez 5.86-6.1
bluez-hid2hci 5.86-6.1
bluez-libs 5.86-6.1
bluez-obex 5.86-6.1
bluez-qt 6.27.0-1.1
bluez-utils 5.86-6.1
bolt 0.9.11-1.1
boost-libs 1.91.0-1.1
bpf 7.0.10-1
bpftune-git r764.4712347-1
brave-bin 1:1.91.175-1
breeze 6.7.1-1.1
breeze-cursors 6.7.1-1.1
breeze-gtk 6.7.0-1
breeze-icons 6.27.0-1.1
brotli 1.2.0-1.1
btop 1.4.7-1.1
btrfs-assistant 2.2-5.1
btrfs-progs 7.0-1
bubblewrap 0.11.2-1.1
bun 1.3.14-1
bzip2 1.0.8-6.1
c-ares 1.34.6-1.1
ca-certificates 20240618-1
ca-certificates-mozilla 3.125-1.1
ca-certificates-utils 20240618-1
cabextract 1.11-3.1
cachy-update 3.20.2-1
cachyos-alacritty-config 1.0-1
cachyos-ananicy-rules 1:1.1.42-1
cachyos-emerald-kde-theme-git r25.d61d1dd-1
cachyos-gaming-applications 1.0.0-2
cachyos-gaming-meta 1:1.0.0-7
cachyos-hello 0.25.0-1
cachyos-hooks 2026.02.05-1
cachyos-iridescent-kde r2.16aa352-1
cachyos-kde-settings 4.9-8
cachyos-kernel-manager 1.19.0-1
cachyos-keyring 20240331-1
cachyos-micro-settings 1.0.0-1
cachyos-mirrorlist 27-1
cachyos-nord-kde-theme-git r16.d75759c-1
cachyos-packageinstaller 1.6.2-1
cachyos-plymouth-bootanimation 2-3
cachyos-rate-mirrors 23-3
cachyos-settings 1:1.3.5-1
cachyos-snapper-support 1.0.2-1
cachyos-themes-sddm 1.0-3
cachyos-v3-mirrorlist 27-1
cachyos-v4-mirrorlist 27-1
cachyos-wallpapers r23.964263e-1
cairo 1.18.4-1.1
cairomm 1.14.6-1.1
